Index,airfoil,r_le,x_t,y_t,k_t,beta_te,gamm_le,x_c,y_c,k_c,alpha_te
13,ag19,-0.0017419625923035466,0.20000534937757364,0.02711660554504515,-0.43506474373457793,0.010715941061205433,0.2059766873068986,0.42575064305429244,0.022649590307520378,-0.12252183643355599,0.06681067922889614
14,ag24,-0.0019446946013307895,0.26648637906017353,0.042032885444055694,-0.4164400494197038,0.034655059612825334,0.15174599817030174,0.45072628308485624,0.022092723127256592,-0.12733393833431467,0.08979451464534301
15,ag25,-0.0017830196703868656,0.250649645891439,0.03789698498207247,-0.4156263755789107,0.028381501730041364,0.17757649716018345,0.4468712312399002,0.023935127014751485,-0.1420564133385464,0.08918747434508646
16,ag26,-0.03256141590345754,0.23525647720052148,0.034026710112668286,-0.3883725239025006,0.010001450810222396,0.3234073474996952,0.4324373656645834,0.025729373771652367,-0.22589140876662062,0.0971836049432632
17,ag27,-0.0458174348085531,0.20906987825277168,0.030505482611716733,-0.43955424591440206,0.010010966360785915,0.1997776037336563,0.4374627472690456,0.026799203343449807,-0.14701695581986457,0.07822250916499274
18,ag44ct02r,-0.009924288315069267,0.24150796176182604,0.03638491049956017,-0.3934459459483872,0.010027961524536647,0.051903700036247176,0.31825835798592594,0.01957068390327454,-0.2076650400021,0.38886273489323114
19,ag455ct02r,-0.003130326799083909,0.22692467130525243,0.03254970754694048,-0.40649649172007,0.026614931398656904,0.1837469406079726,0.3162218221413371,0.018191521051066924,-0.09564115578018793,0.03497069312492805
20,ag45ct02r,-0.004801488010536452,0.24165262386656883,0.0346739273005961,-0.39799523554750854,0.038787818989763884,0.05094778048935904,0.30904640381483284,0.01853570367365409,-0.2072714373943832,0.016090762230426846
21,ag46ct02r,-0.008901580063058807,0.2248800800778898,0.030528377998691163,-0.3717745210655741,0.010404754272657822,0.024134253996158338,0.30129335963982784,0.016650581224864788,-0.18300809733359893,0.020814470906841756
22,ag47ct02r,-0.04860524852285223,0.2184641161297188,0.02514967072798488,-0.28772118622809434,0.017697912601310567,0.004289300082793687,0.29912045727042813,0.012998593380652486,-0.14005897984294594,0.20623031792931135
23,ah21-7,-0.049998594748677364,0.3554741569651723,0.04473484360658206,-0.21173037180471355,0.09409037793107916,0.23819152425643875,0.5607427207762148,0.022664402266417395,-0.14214469769505164,0.18650627987323118
24,ah21-9,-0.04061877452916253,0.3387590447934302,0.03539574993642144,-0.2,0.36615397792621107,0.28795518918323454,0.5638441313545465,0.017733575821078467,-0.11638061247850638,0.15116718931025336
25,ah79100a,-0.006533162494927543,0.2848120071994819,0.049750648751131804,-0.49465907384545466,0.0585230709842654,0.158913801146372,0.5445699112069025,0.036257303009989514,-0.24442834104737762,0.1520655732112719
26,ah79100b,-0.0020474730473483012,0.31163741876759904,0.049393760531667996,-0.3748848421072635,0.028679350690616882,0.3258049215374249,0.4905994621403325,0.06417656313378414,-0.4451939084200706,0.3690138408811217
27,ah79100c,-0.0010015998949099848,0.31918443454921736,0.04985778465368911,-0.3275413028588171,0.08548318423722151,0.30939785348092064,0.48510461666330734,0.06716465744549803,-0.5016192580127801,0.3947577577297637
28,ah80129,-0.003873145380797601,0.412720614651112,0.06416393156595844,-0.42080233719190985,0.09118989221593578,0.12874454611999056,0.4124249806991596,0.04145647176648365,-0.5870560605264571,0.00854089616804435
29,ah80136,-0.005466485111629628,0.3475458760602076,0.06760271762278981,-0.6134185858509251,0.06185823673629424,0.08097780684899017,0.32818653196808006,0.035581624904463545,-0.9300053520767042,0.0020002595952590026
30,ah80140,-0.013292946438158348,0.30914971446816714,0.06947453482063358,-0.6350864562217662,0.07727351300784288,0.1062686218998196,0.310616951871554,0.04326105167061017,-0.7872167005353001,0.025134534659329768
31,ah81131,-0.004447647710379474,0.4139208663578728,0.06512636282762412,-0.40226411458835737,0.08037922284250427,0.08257598931082823,0.3695657711560563,0.03039955323448918,-0.6119624118850241,0.0020023739818669775
32,ah82150a,-0.006184583931205782,0.41786964411407646,0.07493136125103754,-0.442705106019861,0.09196327742720976,0.13248925082286664,0.4033549640112031,0.0326336435578476,-0.2665482483941313,0.28543033995424105
33,ah82150f,-0.004063397289745583,0.44999190417475554,0.07502980486777751,-0.35856578462309474,0.1016481806493693,0.16480626321932482,0.4596568375768597,0.03629651504659407,-0.025,0.0944705067068714
34,ah83150q,-0.001483684744765373,0.3789548950257498,0.07416225260856243,-0.41727266442506994,0.035653065919430266,0.3247406901178576,0.379964552198827,0.04155807006367753,-0.31694454441205155,0.07105959985579084
35,ah83159,-0.003864940504877492,0.41786854141486474,0.07901325397691493,-0.4296478955213862,0.07260422953429706,0.17498696705264666,0.38033660112387724,0.03777347775679814,-0.4028600159844482,0.11736153102195535
36,ah93156,-0.006540609470369284,0.4045256895289754,0.07802846485246898,-0.3895031368177307,0.102254297397987,0.14160624846110617,0.38646764523977023,0.03824751367669708,-0.5810272592504667,0.04238161891038374
37,ah93157,-0.007625416614595577,0.3996062921797513,0.07811200987761935,-0.4031663932287138,0.11518926317828213,0.14202868374702782,0.37793725462733746,0.037872446116074585,-0.570232743204631,0.042269317301169014
38,ah94145,-0.013366726107720425,0.38403325146214123,0.07241317908268888,-0.4612723249832308,0.11322673824321462,0.004100694605012941,0.4130576508747014,0.05488051115661013,-0.657532254895381,0.002127647197767924
39,ah94156,-0.0037913671080536397,0.40498684852460454,0.07761742005449852,-0.40525873650249505,0.0771119498269262,0.2036140906862294,0.42314491720093506,0.03698773272656566,-0.029727261647236238,0.07613387571280655
40,ah95160,-0.016580515723576418,0.38523306311803834,0.07963693970253442,-0.5243354037775652,0.12725923223358654,0.004093264060047329,0.41357810678405066,0.05499795455109393,-0.6771220534754261,0.002011287629248781
41,aquilasm,-0.0010111999479200265,0.3032401241641521,0.04656565606391788,-0.35030192346119093,0.03515169131266782,0.32614615315576545,0.3244581158440512,0.04040564255541029,-0.25035516755936155,0.08389155173123156
42,arad10,-0.026153625287087513,0.24059217050994128,0.05098702518291011,-0.42809625065314477,0.3996921058727727,0.015170537302655494,0.3471042720715166,0.0409852963097964,-0.44581725929746013,0.14783725670521222
43,arad13,-0.022936388755313734,0.23903741915065962,0.06600575794611199,-0.6843145140380436,0.3998168694298771,0.06624691434551679,0.29232855869296204,0.036437613254762746,-0.44166654111833775,0.032647919354257905
44,arad6,-0.007212603182025799,0.2,0.031096207074175722,-0.8453114211202849,0.21150079492762539,0.2754166079917847,0.43109573461957157,0.050183817129438694,-0.369214547459247,0.17032250821638054
45,as5045,-0.009084389290015604,0.37766373904303474,0.07482003728876076,-0.4627314173678463,0.06934963019620106,0.12541151268396397,0.33693011375394016,0.010805662050346802,-0.025,0.6943415983278658
46,as5046,-0.011852250123664957,0.3784121462493612,0.08001944824476769,-0.518567701817303,0.08962520228496466,0.11626321886164812,0.3057741895721177,0.011051178459022136,-0.025005361236912972,0.6993696051308714
47,as5048,-0.015841467220074627,0.38582035600573417,0.09046479166749602,-0.7364374394855373,0.14717326374123094,0.1056773121937761,0.3195504281607396,0.012120322077023894,-0.025017416194336884,0.7
48,atr72sm,-0.004024266261621151,0.2726256047613211,0.07319359701990717,-0.6457596698380037,0.10079337874536026,0.1144535454079167,0.24052365749896368,0.028186262766771383,-0.458866676663592,0.03236771676759091
49,august160,-0.0010091284210577366,0.26542781507812996,0.07794212405797703,-0.8999643428621762,0.03587923849037022,0.2403792130127702,0.25565232219965095,0.05325283124490103,-1.1359384976588187,0.03530079057599089
50,avistar,-0.016217380642756303,0.3468191607496497,0.07267519003460463,-0.7532254160415828,0.16268985688446083,0.0020410861476493763,0.3749134071559808,0.02232050263305265,-0.3068820209167692,0.0022862615520214875
51,b29root,-0.034441885199452585,0.3365542447146862,0.10957436160756126,-0.9,0.20495315077197718,0.007555553551395697,0.34125609519372524,0.01832800702617991,-0.6282081183774628,0.0020032609105205736
52,b29tip,-0.006689819364482496,0.33680913442314786,0.04527783962391941,-0.4933650296103155,0.09166678821176108,0.028779626415860307,0.3216086360691259,0.02295431053414166,-0.5517613251304528,0.0020044187331212104
53,b707c,-0.005329905990807947,0.3936963959643843,0.04746446931784863,-0.3930040098344331,0.09646463244110715,0.1961642583043215,0.2114363872608811,0.01893583650727435,-0.02513071022395351,0.038117301013530724
54,b707d,-0.004080482309039098,0.40669195775047695,0.044674566261257126,-0.3545585586031803,0.08981371441495065,0.22620677384011642,0.28809032015085734,0.0206061393594784,-0.1864200820391704,0.14483236221441953
55,b707e,-0.004194056548516191,0.40595257850837985,0.044800197643508656,-0.356135317744592,0.0878392306689399,0.12795443198965822,0.30993748279864014,0.01855464063981678,-0.16723255677464033,0.09509520562918476
56,b737c,-0.00494593327515009,0.36738024100489336,0.04972032566968717,-0.4924609408361284,0.10730252043786179,0.15563999397544853,0.2239018062813784,0.014361244537525337,-0.1762436232550194,0.022708063901016963
57,b737d,-0.005811481238359197,0.4084305324150852,0.053760566838608796,-0.42386549304618215,0.09994724683462913,0.062050723487939906,0.25695579226155163,0.01566808345509589,-0.1710852822277412,0.03906357492966094
58,bacj,-0.05,0.3674106931269638,0.049394916544161886,-0.20000866232718373,0.042724492108541415,0.002,0.7911449781568668,0.016970010733580416,-0.6004877994999701,0.0830705134790081
59,bacxxx,-0.002596832214803291,0.35230708061210264,0.05602910055008894,-0.3410734092097223,0.1502761495815322,0.21686718773027075,0.27364466651336544,0.01304133950408874,-0.025005563328125084,0.19137955631747924
60,be50sm,-0.002024419934291845,0.21796027196108791,0.036032755409642576,-0.48526086612314434,0.01,0.2442479414117359,0.44488732448319873,0.039194607405956136,-0.1661267641943876,0.13580629330923616
61,boe103,-0.0022198585384141786,0.3039556699617172,0.06411875984296395,-0.45877988677197035,0.18459073114104618,0.24463490438729366,0.35957513466926344,0.03554934268845137,-0.025,0.11193597354632481
62,boe106,-0.011620832889576077,0.3264888348811083,0.06524750627071194,-0.45031793662996367,0.1417993343385902,0.19978523248153407,0.37002511385267456,0.033105110011307684,-0.025461194916575284,0.07807806983434959
63,c141a,-0.017024487587316176,0.40781819153488374,0.06490657579835096,-0.41092152990670017,0.21097327502907134,0.07434816074989294,0.6421364773249537,0.010932073031499151,-0.07460768416546334,0.04677894064544193
64,c141b,-0.016217017445283203,0.4067890554197639,0.06315883449718873,-0.3928650959883933,0.2045241548398445,0.0759347668660565,0.6214848146013818,0.011273861740412446,-0.07827259323643958,0.048086769073791384
65,c141c,-0.04750726943344034,0.38191466993576195,0.05411629788356157,-0.22054050025639244,0.08344781904824179,0.07334697939259131,0.5315276574208674,0.013264695966317377,-0.08647963401047007,0.05681885014729696
66,c141d,-0.04245091637438171,0.37813584886528867,0.052936090480311934,-0.20131301925124598,0.11639519645889851,0.09497755082350158,0.5064246047506811,0.015383735590419115,-0.06715532291200639,0.06946767576730027
67,c141e,-0.05,0.3687889512623111,0.05196878588665847,-0.20022211496871406,0.1374175373472338,0.12714581851760987,0.4804423340292357,0.0180952672093036,-0.09191958129406136,0.08595065779879142
68,c141f,-0.049578606291245,0.3447489753737562,0.05007604469652489,-0.20001181029060844,0.18718745855234004,0.12748098382263962,0.40793824753084035,0.023149612399677874,-0.025,0.10960902085674788
69,c5a,-0.011381139334709814,0.40239124304649304,0.06565677270910893,-0.48951118677447275,0.18161942869473358,0.0020005455870929297,0.8293417906617755,0.0075789363224338605,-0.8162547316424981,0.30038664733032766
70,c5b,-0.012517148967140517,0.4085351285033049,0.057639804310656254,-0.36614172319045124,0.17718066053196138,0.025965258237496607,0.6668359795372132,0.012275480336093363,-0.1366449978704511,0.09328648818496345
71,c5c,-0.012350440061368212,0.41042616811664595,0.055608597061726855,-0.342761763600734,0.18237169339325143,0.038642830804455866,0.6174622265651217,0.014441593269583101,-0.14368166800547783,0.09949518884084535
72,c5d,-0.032402181431460994,0.3836990029919051,0.05393535474889454,-0.20643868465395376,0.08437766792796868,0.04540500000242571,0.5831190334132601,0.013872818792050799,-0.10024160475309071,0.10873364447620794
73,c5e,-0.04976479168019528,0.36085771487820123,0.0515897577216124,-0.2000166245387883,0.05362680964304197,0.03917898904270831,0.3356936607129595,0.013814196341282796,-0.1286156785634328,0.5171840722788164
74,cast102,-0.00855343977840781,0.43591702127935894,0.060364530391085955,-0.33203708204497573,0.13709113112901164,0.12745392501917707,0.38398529500663414,0.013936908574877688,-0.025,0.31027937274852563
75,clarkk,-0.016941805640909843,0.31019263625324744,0.05871775500676991,-0.49409215876721535,0.1395821740974498,0.14647782118172858,0.41804913540019595,0.032650015797879114,-0.19395890049089456,0.096008702253025
76,clarkv,-0.013267048546759731,0.34066671869791343,0.058445139694044385,-0.3643146397387636,0.18127749153403871,0.19450813564337158,0.4681984825903164,0.03420679317117437,-0.23762487336598892,0.14998649241086534
77,clarkw,-0.0176010244667631,0.26831011304346397,0.056584359866769955,-0.7906300060369408,0.1871110635588867,0.1524314993564736,0.4095173376570509,0.03773523525175619,-0.43568269100999607,0.09588649530312589
78,clarkx,-0.014505064279104791,0.31038144912713367,0.058776648947273115,-0.4320852767696411,0.14175033440948812,0.1368757286941425,0.4102107746331647,0.03304076706088734,-0.18556841419883616,0.10474406278396882
79,clarky,-0.010300946175742728,0.30283650313396937,0.058851005665187216,-0.4203200680838549,0.1438176316015566,0.010304901270180498,0.404280074367568,0.035179690445760005,-0.396639653305971,0.3156928841610749
80,clarkyh11,-0.007816761544218294,0.3041913942617197,0.05523355259106694,-0.3879569841734651,0.13960670875531983,0.08297265484973562,0.3279366837665671,0.026946622031954505,-0.43262242555681985,0.010000992024261232
81,clarkyh20,-0.024872438963143107,0.3051389762411493,0.10046965188228883,-0.7654388514256356,0.2503910827278051,0.03328546202554172,0.3264502029219216,0.04897648573753243,-0.8714710198416195,0.01
